name,category,party,,notes
First Ward Democratic PAC,entity,Dem,,
First Ward Democrats,entity,Dem,,
1st Ward Democratic PAC,entity,Dem,,
3rd Democratic Executive Ward Committee,entity,Dem,,
3rd ward Democratic Committee,entity,Dem,,
3rd Ward Democratic Committee,entity,Dem,,
3rd Ward,entity,Dem,,Contributor for Friends of Michael W. Untermeyer
5th Ward Republican Committee,entity,Rep,,
Fifth Democratic Executive,entity,Dem,,
5th Ward Democratic Executive Committee,entity,Dem,,
5th Ward Executive Committee,entity,Dem,,Contributor for Friends of Zac Shaffer
5th Ward,entity,Dem,,"Contributor for Goodman for Judge, a dem judge"
5TH WARD,entity,Dem,,Filer is David H Conroy
5th Ward Democratic Committee,entity,Dem,,
5th Ward Dem Exec Cmte,entity,Dem,,
Fifth Ward Democratic Executive Committee,entity,Dem,,
5TH WARD DEMOCRATIC EXECUTIVE COMMITTEE,entity,Dem,,
5th Ward Democratic Exicutive Committee,entity,Dem,,
6th ward Democratic Committee,entity,Dem,,
Democratic Sixth Ward,entity,Dem,,
6th Ward Democratic Comittee,entity,Dem,,
WARD 6,entity,Dem,,"Filer is Morene Freedman, who has dem contributors"
6th Ward,entity,Dem,,Contributor for Committee to Elect Marissa Brumbach
6TH WARD DEM EXEC COM,entity,Dem,,
7th ward Democratic Committee,entity,Dem,,
7th Ward Democratic Executive Committee,entity,Dem,,
7th Ward,entity,Dem,,Contributor for Friends of Zac Shaffer
7TH WARD,entity,Dem,,"Filer is Morene Freedman, who has dem contributors"
7th Ward Democratic Committee,entity,Dem,,
7TH WARD DEM EXEC COM,entity,Dem,,
8th Ward Democratic Executive Committee,entity,Dem,,
Ward 8 Democratic Committee,entity,Dem,,
8TH WARD DEM COMMITTEE,entity,Dem,,
8th Ward Democratic Committee,entity,Dem,,
8th Ward,entity,Dem,,Contributor for Committee to Elect Sherman toppin for judge
The 8th Ward Democrats,entity,Dem,,
8th Democratic Ward,entity,Dem,,
9th Ward Democratic Committee,entity,Dem,,
9th Ward Dem. Exec Committee,entity,Dem,,
9th Ward Democratic Executive Committee,entity,Dem,,
9th Ward,entity,Dem,,"Contributor for Goodman for Judge, a dem judge"
WARD 9,entity,Dem,,"Filer is Morene Freedman, who has dem contributors"
9th Ward Democratic Caucus,entity,Dem,,
9TH WARD DEM EXEC COM,entity,Dem,,
The 9th Democratic Ward,entity,Dem,,
9th Ward Democratic Committee Night at the Races,entity,Dem,,
10TH WARD DEMOCRATIC COMMITTEE,entity,Dem,,
10th Ward Democratic Committee,entity,Dem,,
10th Ward Democratic Club,entity,Dem,,
10th Ward Dem. Exec. Committee,entity,Dem,,
10th Ward Executive Committee,entity,Dem,,"Contributor for Liberty Square Pac, which has other dem contributors"
11th Democratic Ward,entity,Dem,,
11th Ward,entity,Dem,,"Contributor for Jenn for Judge, as well as Committee to Elect Sherman Toppin for judge"
11th Ward Executive Committee,entity,Dem,,"Contributor for Liberty Square Pac, which has other dem contributors"
Friends of the 11th Ward,entity,Dem,,Contributor for Committee to Elect Lawrence Bozzelli
11TH DEM WARD COMMITTEE,entity,Dem,,
The 11th Democratic Ward,entity,Dem,,
12th Ward,entity,Dem,,Contributor for 12th Ward Democratic Executive Committee and Philadelphia Democratic Campaign Committee
13th Ward Democratic Executive Committee PAC,entity,Dem,,
13th Ward Executive Committee,entity,Dem,,
13th Ward Democratic Executive Committee,entity,Dem,,"Contributor for Jenn for Judge, as well as Friends of Zac Schaffer, and other dem pacs"
13TH WARD,entity,Dem,,"Filer is Morene Freedman, who has dem contributors"
WARD 13,entity,Dem,,"Filer is Morene Freedman, who has dem contributors"
13TH WARD DEMO EXEC COM,entity,Dem,,
13TH WARD DEM EXEC COM,entity,Dem,,
14th ward Democratic Committee,entity,Dem,,
14th Ward Democratic Executive Committee,entity,Dem,,
14th Democratic Executive Committee,entity,Dem,,
14th Ward Executive Committee,entity,Dem,,Contributor for Deni for DA Campaign Committee and Lawrence Krasner for District Attorney
14th Ward,entity,Dem,,"Not found in either 2017 or 2016 YTD file entitity, found in 2017 filer"
Friends of 14th Ward,entity,Dem,,Contributor to Friends of Zac Schaffer
14TH WARD,entity,Dem,,Not found in either 2017 or 2016 YTD file
Cash/14th Ward,entity,Dem,,Contributor to Ward 14 Democraric executive Committee
