Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T005_009,SE_T005_010,SE_T005_011,SE_T005_012,SE_T005_013,SE_T005_014,SE_T005_015,SE_T005_016,SE_T005_017,SE_T005_018,SE_T005_019,SE_T005_020,SE_T005_021,SE_T005_022,SE_T005_023,SE_T005_024,SE_T005_025,SE_T005_026,SE_T005_027,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T009_005,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,SE_T150_006,SE_T150_007,SE_T150_008,SE_T037_001,SE_T037_002,SE_T037_003,SE_T057_001
421010001001.000000000000000,15000US421010001001,"Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 1, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16421,,,,,42,101,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762,1762,744,27,0,0,0,48,486,76,47,38,10,12,0,1018,28,0,13,0,127,538,116,73,11,81,0,31,1762,68,1199,361,134,744,27,534,161,22,1018,41,665,200,112,1762,1482,139,0,101,0,0,40,1762,1676,1396,139,0,101,0,0,40,86,86,0,0,0,0,0,0,1519,15,1504,1430,1267,428,175,53,1498,1498,0,103631
421010001002.000000000000000,15000US421010001002,"Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16422,,,,,42,101,,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2250,1221,15,15,44,29,122,486,98,153,179,80,0,0,1029,0,0,0,0,77,540,112,97,143,14,40,6,2250,103,1225,782,140,1221,103,608,430,80,1029,0,617,352,60,2250,1538,361,6,257,0,30,58,2250,2112,1430,361,6,257,0,0,58,138,108,0,0,0,0,30,0,1948,40,1908,1741,1542,666,319,182,1635,1553,82,103851
421010002001.000000000000000,15000US421010002001,"Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16423,,,,,42,101,,,,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563,2563,1400,92,53,73,44,110,437,244,165,89,29,52,12,1163,12,10,37,0,162,493,114,170,33,43,70,19,2563,321,1202,815,225,1400,262,547,498,93,1163,59,655,317,132,2563,825,156,13,1389,0,46,134,2563,2452,821,156,13,1389,0,0,73,111,4,0,0,0,0,46,61,1970,503,1467,1159,1021,455,162,96,1559,1440,119,50455
421010003001.000000000000000,15000US421010003001,"Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 3, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16424,,,,,42,101,,,,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,942,454,18,11,0,0,75,207,61,68,12,2,0,0,488,0,0,0,7,197,178,43,5,36,22,0,0,942,36,657,225,24,454,29,282,141,2,488,7,375,84,22,942,741,28,0,149,0,0,24,942,857,656,28,0,149,0,0,24,85,85,0,0,0,0,0,0,634,0,634,613,508,214,75,9,734,704,30,107917
421010003002.000000000000000,15000US421010003002,"Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 3, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16425,,,,,42,101,,,,300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588,2588,1182,29,9,39,0,111,328,149,210,129,87,24,67,1406,33,58,32,36,141,355,257,118,89,140,94,53,2588,236,935,952,465,1182,77,439,488,178,1406,159,496,464,287,2588,1999,122,0,298,21,25,123,2588,2419,1864,122,0,298,21,0,114,169,135,0,0,0,0,25,9,2100,53,2047,1788,1649,861,493,175,1504,1432,72,82432
421010004011.000000000000000,15000US421010004011,"Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16426,,,,,42,101,,,,401,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666,2666,1298,46,0,0,0,68,497,121,201,94,162,109,0,1368,34,0,0,0,82,704,123,58,139,136,81,11,2666,80,1351,736,499,1298,46,565,416,271,1368,34,786,320,228,2666,1605,346,0,663,0,8,44,2666,2479,1442,344,0,663,0,0,30,187,163,2,0,0,0,8,14,2436,293,2143,1982,1791,847,262,128,1716,1615,101,57604
421010004021.000000000000000,15000US421010004021,"Block Group 1, Census Tract 4.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 4.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16427,,,,,42,101,,,,402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,1232,483,0,0,0,0,0,74,0,52,89,105,102,61,749,0,0,0,0,13,93,0,98,104,227,114,100,1232,0,180,343,709,483,0,74,141,268,749,0,106,202,441,1232,1152,43,0,0,0,0,37,1232,1216,1136,43,0,0,0,0,37,16,16,0,0,0,0,0,0,1219,29,1190,959,657,325,158,15,518,518,0,46676
421010004022.000000000000000,15000US421010004022,"Block Group 2, Census Tract 4.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 4.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16428,,,,,42,101,,,,402,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,1970,754,26,0,0,0,0,246,99,159,127,28,55,14,1216,0,0,0,0,86,454,166,95,121,126,112,56,1970,26,786,767,391,754,26,246,385,97,1216,0,540,382,294,1970,1569,135,0,249,0,0,17,1970,1970,1569,135,0,249,0,0,17,0,0,0,0,0,0,0,0,1858,25,1833,1694,1503,822,274,119,1364,1326,38,73796
421010005001.000000000000000,15000US421010005001,"Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 5, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16429,,,,,42,101,,,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451,2451,1479,7,0,3,0,215,710,293,117,107,23,4,0,972,23,0,0,0,224,418,135,91,25,46,10,0,2451,33,1567,768,83,1479,10,925,517,27,972,23,642,251,56,2451,1126,851,15,361,0,28,70,2451,2109,876,816,0,361,0,0,56,342,250,35,15,0,0,28,14,1979,330,1649,1091,788,409,243,59,970,851,119,40568
421010006001.000000000000000,15000US421010006001,"Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 6, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16430,,,,,42,101,,,,600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301,1301,627,20,15,15,0,107,232,83,73,47,28,7,0,674,16,15,0,7,174,283,50,54,34,29,5,7,1301,88,796,341,76,627,50,339,203,35,674,38,457,138,41,1301,991,141,0,140,0,20,9,1301,1173,890,141,0,140,0,0,2,128,101,0,0,0,0,20,7,932,15,917,869,761,548,311,60,896,838,58,71250
421010007001.000000000000000,15000US421010007001,"Block Group 1, Census Tract 7, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 7, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16431,,,,,42,101,,,,700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,665,333,17,0,0,0,15,165,0,28,45,31,32,0,332,0,0,0,0,0,83,34,18,37,94,31,35,665,17,263,162,223,333,17,180,73,63,332,0,83,89,160,665,545,19,0,91,10,0,0,665,586,466,19,0,91,10,0,0,79,79,0,0,0,0,0,0,633,51,582,532,441,360,174,31,438,425,13,49918
421010007002.000000000000000,15000US421010007002,"Block Group 2, Census Tract 7, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 7, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16432,,,,,42,101,,,,700,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780,1780,977,35,0,0,18,78,437,32,167,102,80,28,0,803,0,14,0,0,18,362,123,139,83,42,22,0,1780,67,895,646,172,977,53,515,301,108,803,14,380,345,64,1780,1192,176,0,379,0,0,33,1780,1593,1020,176,0,364,0,0,33,187,172,0,0,15,0,0,0,1617,0,1617,1541,1470,724,390,162,1042,1041,1,62759
421010007003.000000000000000,15000US421010007003,"Block Group 3, Census Tract 7, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 7, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16433,,,,,42,101,,,,700,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,809,278,0,0,0,0,0,209,25,14,14,0,16,0,531,0,0,0,0,273,212,30,0,16,0,0,0,809,0,694,99,16,278,0,209,53,16,531,0,485,46,0,809,401,216,0,151,0,0,41,809,788,380,216,0,151,0,0,41,21,21,0,0,0,0,0,0,536,16,520,480,389,249,122,0,617,578,39,26232
421010008011.000000000000000,15000US421010008011,"Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 8.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16434,,,,,42,101,,,,801,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588,1588,899,25,6,17,13,52,432,130,105,26,68,25,0,689,57,0,0,0,94,441,30,28,6,33,0,0,1588,118,1019,325,126,899,61,484,261,93,689,57,535,64,33,1588,1223,148,0,113,0,86,18,1588,1473,1108,148,0,113,0,86,18,115,115,0,0,0,0,0,0,1324,13,1311,1268,1198,743,312,133,1119,1096,23,91453
421010008031.000000000000000,15000US421010008031,"Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16435,,,,,42,101,,,,803,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,734,352,0,0,0,0,24,149,76,0,28,30,45,0,382,0,0,0,0,47,242,0,12,15,66,0,0,734,0,462,131,141,352,0,173,104,75,382,0,289,27,66,734,655,0,12,37,0,0,30,734,706,627,0,12,37,0,0,30,28,28,0,0,0,0,0,0,663,0,663,625,597,116,30,0,529,484,45,42682
421010008032.000000000000000,15000US421010008032,"Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16436,,,,,42,101,,,,803,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294,1294,475,0,0,29,0,0,218,89,46,27,23,42,1,819,53,29,70,14,55,281,116,63,0,88,24,26,1294,195,554,341,204,475,29,218,162,66,819,166,336,179,138,1294,995,17,0,227,0,0,55,1294,1277,978,17,0,227,0,0,55,17,17,0,0,0,0,0,0,1044,0,1044,1044,975,566,191,26,745,729,16,64432
421010008033.000000000000000,15000US421010008033,"Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16437,,,,,42,101,,,,803,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,570,203,0,0,0,0,37,14,13,0,66,68,5,0,367,0,0,0,0,26,127,17,26,72,48,51,0,570,0,204,194,172,203,0,51,79,73,367,0,153,115,99,570,485,0,0,85,0,0,0,570,553,468,0,0,85,0,0,0,17,17,0,0,0,0,0,0,507,0,507,507,494,272,202,64,371,371,0,72241
421010008034.000000000000000,15000US421010008034,"Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 8.03, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16438,,,,,42,101,,,,803,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,971,380,16,0,0,0,0,152,29,0,14,87,73,9,591,0,0,0,0,80,140,29,53,91,128,9,61,971,16,372,216,367,380,16,152,43,169,591,0,220,173,198,971,880,0,0,77,0,0,14,971,971,880,0,0,77,0,0,14,0,0,0,0,0,0,0,0,875,0,875,825,799,491,240,57,612,603,9,81042
421010008041.000000000000000,15000US421010008041,"Block Group 1, Census Tract 8.04, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 8.04, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16439,,,,,42,101,,,,804,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699,1699,770,13,37,0,0,91,323,63,41,76,78,35,13,929,15,11,0,0,58,430,118,59,77,109,17,35,1699,76,902,434,287,770,50,414,180,126,929,26,488,254,161,1699,1570,30,0,99,0,0,0,1699,1529,1400,30,0,99,0,0,0,170,170,0,0,0,0,0,0,1474,18,1456,1336,1189,672,366,108,1263,1215,48,80865
421010008042.000000000000000,15000US421010008042,"Block Group 2, Census Tract 8.04, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 8.04, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16440,,,,,42,101,,,,804,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967,967,480,11,0,0,0,22,242,22,75,40,51,0,17,487,15,0,0,0,0,148,47,34,76,93,32,42,967,26,412,294,235,480,11,264,137,68,487,15,148,157,167,967,654,37,13,249,0,14,0,967,967,654,37,13,249,0,14,0,0,0,0,0,0,0,0,0,919,45,874,772,616,423,257,52,595,539,56,94318
421010008043.000000000000000,15000US421010008043,"Block Group 3, Census Tract 8.04, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 8.04, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16441,,,,,42,101,,,,804,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416,1416,727,0,0,0,0,47,358,174,60,26,49,13,0,689,15,0,0,0,112,415,29,28,22,39,12,17,1416,15,932,339,130,727,0,405,260,62,689,15,527,79,68,1416,1245,67,0,104,0,0,0,1416,1303,1132,67,0,104,0,0,0,113,113,0,0,0,0,0,0,1242,12,1230,1215,1142,636,353,53,1105,1084,21,137313
421010009011.000000000000000,15000US421010009011,"Block Group 1, Census Tract 9.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 9.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16442,,,,,42,101,,,,901,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,1133,489,30,0,0,0,33,225,36,39,71,25,30,0,644,0,19,0,0,136,388,0,21,71,9,0,0,1133,49,782,238,64,489,30,258,146,55,644,19,524,92,9,1133,857,95,0,154,0,0,27,1133,1081,805,95,0,154,0,0,27,52,52,0,0,0,0,0,0,915,0,915,837,695,277,188,63,891,838,53,44161
421010009012.000000000000000,15000US421010009012,"Block Group 2, Census Tract 9.01, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 9.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16443,,,,,42,101,,,,901,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,1026,516,3,0,0,0,29,202,113,31,64,52,22,0,510,24,0,0,0,107,319,16,16,0,28,0,0,1026,27,657,240,102,516,3,231,208,74,510,24,426,32,28,1026,664,83,0,211,0,46,22,1026,936,620,83,0,211,0,0,22,90,44,0,0,0,0,46,0,863,0,863,797,701,334,149,19,696,638,58,28409
421010009021.000000000000000,15000US421010009021,"Block Group 1, Census Tract 9.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 9.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16444,,,,,42,101,,,,902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416,1416,679,14,51,0,0,20,152,49,98,45,99,110,41,737,44,27,0,0,3,197,87,7,88,96,102,86,1416,136,372,374,534,679,65,172,192,250,737,71,200,182,284,1416,926,100,0,353,0,0,37,1416,1377,887,100,0,353,0,0,37,39,39,0,0,0,0,0,0,1257,271,986,870,788,458,295,84,568,560,8,36645
