FID,FID_philly,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape_Leng,Shape_Area,test_area,bg_area,FID_wards_,ward_str,new_area,ratio
0,10,11,42,101,018400,2,1500000US421010184002,421010184002,2,BG,947753.000000000000000,995511.000000000000000,22049.367260200000601,20947612.864399999380112,20947612.864399999380112,20947612.864399999380112,-1, ,683062.196246000006795,0.032608116288400
1,23,24,42,101,014200,2,1500000US421010142002,421010142002,2,BG,701602.000000000000000,277434.000000000000000,17003.656476799998927,10532231.870699999853969,10532231.870699999853969,10532231.870699999853969,-1, ,539860.586990999989212,0.051257947377000
2,63,64,42,101,035100,2,1500000US421010351002,421010351002,2,BG,515829.000000000000000,663657.000000000000000,20371.295709099998930,11218126.986600000411272,11218126.986600000411272,11218126.986600000411272,-1, ,702187.939874000032432,0.062594044506100
3,71,72,42,101,009801,1,1500000US421010098011,421010098011,1,BG,118515.000000000000000,0.000000000000000,5598.812851599999703,1245854.253849999979138,1245854.253849999979138,1245854.253849999979138,-1, ,61.825436233799998,0.000049624934893
4,75,76,42,101,035100,1,1500000US421010351001,421010351001,1,BG,481613.000000000000000,2361.000000000000000,18209.048466600001120,5096150.365090000443161,5096150.365090000443161,5096150.365090000443161,-1, ,37498.737982300001022,0.007358247951080
5,83,84,42,101,021900,1,1500000US421010219001,421010219001,1,BG,1410069.000000000000000,51091.000000000000000,19335.486536500000511,15384117.763499999418855,15384117.763499999418855,15384117.763499999418855,-1, ,16603.389284699998825,0.001079255212420
6,106,107,42,101,034400,4,1500000US421010344004,421010344004,4,BG,1131285.000000000000000,168.000000000000000,17072.647470399999293,12301579.695199999958277,12301579.695199999958277,12301579.695199999958277,-1, ,27.813154685400001,0.000002260941714
7,146,147,42,101,036501,1,1500000US421010365011,421010365011,1,BG,890061.000000000000000,5060.000000000000000,12540.565893400000277,9576771.357969999313354,9576771.357969999313354,9576771.357969999313354,-1, ,9291.719788489999701,0.000970235107551
8,163,164,42,101,038700,2,1500000US421010387002,421010387002,2,BG,1774476.000000000000000,22052.000000000000000,21768.076894000001630,19510635.991399999707937,19510635.991399999707937,19510635.991399999707937,-1, ,86198.175263299999642,0.004418009505240
9,179,180,42,101,014300,1,1500000US421010143001,421010143001,1,BG,473749.000000000000000,282807.000000000000000,17994.966850500000874,8223210.733350000344217,8223210.733350000344217,8223210.733350000344217,-1, ,402463.543348999985028,0.048942384720500
10,222,223,42,101,008301,3,1500000US421010083013,421010083013,3,BG,187359.000000000000000,2696.000000000000000,6366.912972080000145,2134888.826859999913722,2134888.826859999913722,2134888.826859999913722,-1, ,105922.181339000002481,0.049614846453100
11,314,315,42,101,026800,1,1500000US421010268001,421010268001,1,BG,240287.000000000000000,0.000000000000000,6661.296504400000231,2656744.602109999861568,2656744.602109999861568,2656744.602109999861568,-1, ,2245.828849059999811,0.000845331104569
12,349,350,42,101,034100,4,1500000US421010341004,421010341004,4,BG,287921.000000000000000,0.000000000000000,7511.174541289999979,3095866.050569999963045,3095866.050569999963045,3095866.050569999963045,-1, ,34.774090297400001,0.000011232427285
13,355,356,42,101,036502,1,1500000US421010365021,421010365021,1,BG,721882.000000000000000,0.000000000000000,14035.862907500000802,7982378.113490000367165,7982378.113490000367165,7982378.113490000367165,-1, ,572953.715907000005245,0.071777320963900
14,399,400,42,101,020900,3,1500000US421010209003,421010209003,3,BG,210127.000000000000000,35427.000000000000000,7846.727038140000332,2398552.546060000080615,2398552.546060000080615,2398552.546060000080615,-1, ,14151.396433199999592,0.005899973488780
15,425,426,42,101,036502,2,1500000US421010365022,421010365022,2,BG,1011264.000000000000000,0.000000000000000,15732.199701600000481,11002813.977800000458956,11002813.977800000458956,11002813.977800000458956,-1, ,10162.158319000000120,0.000923596303591
16,462,463,42,101,034100,5,1500000US421010341005,421010341005,5,BG,242492.000000000000000,0.000000000000000,8151.690655209999932,2570780.250219999812543,2570780.250219999812543,2570780.250219999812543,-1, ,11692.393838399999368,0.004548188759970
17,514,515,42,101,021500,2,1500000US421010215002,421010215002,2,BG,237447.000000000000000,24008.000000000000000,7289.124859700000343,2836023.617690000217408,2836023.617690000217408,2836023.617690000217408,-1, ,23910.635499500000151,0.008431042446320
18,519,520,42,101,009802,3,1500000US421010098023,421010098023,3,BG,182618.000000000000000,0.000000000000000,6657.193072889999712,1824389.622359999921173,1824389.622359999921173,1824389.622359999921173,-1, ,0.081405306113800,0.000000044620571
19,522,523,42,101,037500,2,1500000US421010375002,421010375002,2,BG,555562.000000000000000,1496.000000000000000,14240.969263900000442,6108425.725850000046194,6108425.725850000046194,6108425.725850000046194,-1, ,41644.967461599997478,0.006817626886310
20,555,556,42,101,036301,1,1500000US421010363011,421010363011,1,BG,1939257.000000000000000,61933.000000000000000,23170.210092599998461,21746503.569800000637770,21746503.569800000637770,21746503.569800000637770,-1, ,357661.655583999992814,0.016446857971300
21,557,558,42,101,012203,1,1500000US421010122031,421010122031,1,BG,227711.000000000000000,0.000000000000000,7682.381183149999742,2342614.974609999917448,2342614.974609999917448,2342614.974609999917448,-1, ,54998.919797000002291,0.023477575441600
22,573,574,42,101,030502,3,1500000US421010305023,421010305023,3,BG,120695.000000000000000,0.000000000000000,7064.926131109999915,1265133.149220000021160,1265133.149220000021160,1265133.149220000021160,-1, ,123195.781717999998364,0.097377720119000
23,579,580,42,101,980900,1,1500000US421019809001,421019809001,1,BG,17334418.000000000000000,3358114.000000000000000,99997.362633800003096,223216161.210999995470047,223216161.210999995470047,223216161.210999995470047,-1, ,1894813.526800000108778,0.008488693276150
24,582,583,42,101,036203,3,1500000US421010362033,421010362033,3,BG,782971.000000000000000,54976.000000000000000,14518.823018299999603,9250937.829110000282526,9250937.829110000282526,9250937.829110000282526,-1, ,329017.172504000016488,0.035565818145300
25,591,592,42,101,021000,4,1500000US421010210004,421010210004,4,BG,299297.000000000000000,55716.000000000000000,9697.867991799999800,3801204.470319999847561,3801204.470319999847561,3801204.470319999847561,-1, ,130890.944954000005964,0.034434071088800
26,606,607,42,101,020700,4,1500000US421010207004,421010207004,4,BG,572593.000000000000000,97228.000000000000000,13870.754820899999686,7230007.025890000164509,7230007.025890000164509,7230007.025890000164509,-1, ,592.844050692999986,0.000081997714327
27,607,608,42,101,026000,1,1500000US421010260001,421010260001,1,BG,302123.000000000000000,0.000000000000000,7846.820365560000027,3210669.209410000126809,3210669.209410000126809,3210669.209410000126809,-1, ,2744.657944539999789,0.000854855410360
28,628,629,42,101,980400,1,1500000US421019804001,421019804001,1,BG,2954730.000000000000000,11766.000000000000000,32399.431480100000044,31580621.881499998271465,31580621.881499998271465,31580621.881499998271465,-1, ,85135.109877399998368,0.002695802197840
29,630,631,42,101,980800,1,1500000US421019808001,421019808001,1,BG,2106118.000000000000000,43822.000000000000000,38814.217227100001764,23261815.605500001460314,23261815.605500001460314,23261815.605500001460314,-1, ,278773.412865000020247,0.011984163987600
30,637,638,42,101,005500,3,1500000US421010055003,421010055003,3,BG,517917.000000000000000,1109.000000000000000,12459.693384800000786,5860750.075740000233054,5860750.075740000233054,5860750.075740000233054,-1, ,20300.367967400001362,0.003463783253860
31,641,642,42,101,005500,1,1500000US421010055001,421010055001,1,BG,465183.000000000000000,10901.000000000000000,15310.400499199999103,5174977.353799999691546,5174977.353799999691546,5174977.353799999691546,-1, ,75422.972132099996088,0.014574551147900
32,645,646,42,101,030600,6,1500000US421010306006,421010306006,6,BG,177125.000000000000000,0.000000000000000,6572.223475140000119,1858218.418640000047162,1858218.418640000047162,1858218.418640000047162,-1, ,100319.594824999992852,0.053986976890700
33,647,648,42,101,022000,1,1500000US421010220001,421010220001,1,BG,2944130.000000000000000,99558.000000000000000,25564.137709099999483,32952143.976700000464916,32952143.976700000464916,32952143.976700000464916,-1, ,34610.344139100001485,0.001050321465080
34,650,651,42,101,026900,2,1500000US421010269002,421010269002,2,BG,462299.000000000000000,0.000000000000000,9217.166817650000667,4965276.859280000440776,4965276.859280000440776,4965276.859280000440776,-1, ,9511.571138630000860,0.001915617478780
35,651,652,42,101,033900,3,1500000US421010339003,421010339003,3,BG,644552.000000000000000,0.000000000000000,10677.293880499999432,6963236.721219999715686,6963236.721219999715686,6963236.721219999715686,-1, ,19.233798458500001,0.000002762192243
36,657,658,42,101,025900,1,1500000US421010259001,421010259001,1,BG,122829.000000000000000,0.000000000000000,4611.698773179999989,1318994.636459999950603,1318994.636459999950603,1318994.636459999950603,-1, ,518.937601753999957,0.000393434201633
37,658,659,42,101,012100,2,1500000US421010121002,421010121002,2,BG,708025.000000000000000,5378.000000000000000,13075.033144000000902,7810269.057430000044405,7810269.057430000044405,7810269.057430000044405,-1, ,0.815876243661000,0.000000104461989
38,660,661,42,101,036501,2,1500000US421010365012,421010365012,2,BG,681036.000000000000000,0.000000000000000,11954.172042199999851,7419798.256590000353754,7419798.256590000353754,7419798.256590000353754,-1, ,60848.389244199999666,0.008200814515430
39,683,684,42,101,036600,1,1500000US421010366001,421010366001,1,BG,1004520.000000000000000,1426274.000000000000000,29603.921037500000239,26930287.928399998694658,26930287.928399998694658,26930287.928399998694658,-1, ,989224.725010999944061,0.036732794229300
40,684,685,42,101,980000,1,1500000US421019800001,421019800001,1,BG,8923040.000000000000000,1500479.000000000000000,68027.098072799999500,112209384.857999995350838,112209384.857999995350838,112209384.857999995350838,-1, ,22526.883161000001564,0.000200757567556
41,685,686,42,101,980700,1,1500000US421019807001,421019807001,1,BG,5958311.000000000000000,1730024.000000000000000,49124.288217000001168,82446315.265599995851517,82446315.265599995851517,82446315.265599995851517,-1, ,1047177.595139999990351,0.012701326818100
42,686,687,42,101,980100,1,1500000US421019801001,421019801001,1,BG,5479744.000000000000000,240845.000000000000000,86589.964998700001161,61301905.360600002110004,61301905.360600002110004,61301905.360600002110004,-1, ,1162.598478599999908,0.000018965127948
43,694,695,42,101,036301,2,1500000US421010363012,421010363012,2,BG,383478.000000000000000,4141.000000000000000,8737.881603129999348,4150875.054310000035912,4150875.054310000035912,4150875.054310000035912,-1, ,4085.048455139999987,0.000984141512739
44,695,696,42,101,036303,4,1500000US421010363034,421010363034,4,BG,362410.000000000000000,0.000000000000000,8856.944086560000869,4036716.741799999959767,4036716.741799999959767,4036716.741799999959767,-1, ,232723.767839999985881,0.057651745892900
