"","X.1","X","ward","csw_lk","csw_na","csw_negrin","csw_tariq","csw_teresa","csw_untermeyer","w_sp_total","w_r_total","w_r_notcand","w_r_cand","w_s_gotv","avg_medHHinc","pmale","pfem","pp18_34","pp35_64","pp65_over","ppm18_34","ppm35_64","ppm65_over","ppf18_34","ppf35_64","ppf65_over","pwhite","pblack","pamer_nativ","pasian","ppac_isl","prace_other","prace_two","pnot_hisp","phisp_lat","pless_hs","phs","psome_college","pbachelor","pmasters","pprof_school_over","pdoctorate","pemployed","punemployed","pdem_vot_turnout","pvote_khan","pvote_oneill","pvote_krasner","pvote_untermeyer","pvote_negrin","pvote_shabazz","pvote_deni","pvote_write_in"
"1",1,1,"1",0,28700,0,0,0,0,NA,NA,NA,NA,NA,57764.1904761905,52.0526872416114,47.8848187674262,34.7370445149505,37.4387078165561,11.0325930199019,19.7625228343428,19.3106432073839,4.28324199596193,14.9120276896452,18.0751850783579,6.69166426305163,64.9793289106817,7.60023074704355,0.211518123257379,19.6038842418998,0,5.83117007980002,1.59119315450437,80.823959234689,19.1327756946447,19.6240228316168,80.2953220002482,51.4766100012409,34.6755180543492,13.5004342970592,3.57984861645365,1.42697605161931,91.9720624486442,7.93755135579293,31.9075394253618,15.470548408937,13.1347325660122,53.3513879485443,4.6039268788084,10.832769126608,1.32024373730535,1.2863913337847,0
"2",2,2,"10",90,34040,0,0,0,0,18320.45,35812.84,35812.84,NA,NA,41684.9428571429,41.7013784514965,58.2127367200584,22.4030574998927,37.2353673723537,18.0272254906171,9.87246102975909,15.2445570489973,6.57018937604672,12.453300124533,21.9049254949113,11.3711512861253,1.30544939236484,95.8775282346374,0.0687078627560442,0.017176965689011,0,0.313479623824451,2.34036157512775,97.9645295658522,2.00111650276979,14.7684445863941,85.1038007026509,45.6020440753753,17.3043755988502,6.65602044075375,0.440753752794634,0.0511018843819866,84.1523916502855,15.6416736871665,22.9058881497906,15.2191449314332,0.941113202473783,50.4436676525948,6.05001344447432,6.82979295509546,19.8440440978758,0.672223716052702,0
"3",3,3,"11",75,9725,0,75,0,0,9094.26,13000,13000,NA,NA,22651.3333333333,46.6374942422847,53.285736219868,24.0135114386611,39.6207584830339,14.486411791801,10.1642868109934,18.7010594196223,5.10517426685091,13.7647781360356,20.850606479349,9.30446798710272,3.1936127744511,92.5610317825887,0,1.64286810993398,0,0.414555504375864,2.01903884538615,96.8294180869031,3.12452019038845,21.1113590716358,78.7770586922562,33.7647846462843,9.18321803168935,2.29859406382504,0.29011381388083,0.200848024994421,86.2261146496815,13.5350318471338,15.5139770575788,14.7164393395549,1.22038765254846,28.8585786073223,10.5527638190955,11.7731514716439,31.8018664752333,1.07681263460158,0
"4",4,4,"12",NA,NA,NA,NA,NA,NA,10692.82,15000,13000,2000,9600,26830.4848484848,44.3236233040702,55.6115323224262,25.0748204309657,36.6320830007981,13.2781324820431,8.98343974461293,16.4255786113328,5.24241819632881,16.006584197925,20.1217079010375,7.98084596967279,11.9413407821229,82.3373902633679,0.404030327214685,0.40901835594573,0.0548683160415004,1.70091779728651,2.94792498004789,96.5632482043097,3.39185953711093,20.8317229651388,79.0214114555152,43.6113472984463,19.15436345366,7.69884826466723,1.73146788281673,0.943031614748396,82.4767561983471,17.3037190082645,19.2934782608696,16.9775409212029,0.723258469737343,42.1773886562619,7.3087171678721,7.23258469737343,24.4765892653217,1.10392082223068,0
"5",5,5,"13",125,5700,0,0,0,0,7350,14100,14100,NA,5000,30176.2727272727,48.8276956893394,51.0501892783002,21.1869581145439,40.5727195017707,14.653803883258,10.593479057272,19.1720600805959,5.41580168518745,10.5202100378557,21.3029673952864,9.1403101721822,6.27671266332886,89.9560385883502,0.256441567957016,0.360239345463427,0.0305287580901209,1.00744901697399,1.90499450482354,96.3915007937477,3.55354744169007,19.4165081090876,80.4385249614932,33.9313219171876,9.47721301078191,2.37383346923983,0.308054725015856,0.154027362507928,76.9242288110213,22.8361784965559,18.0786094581898,19.8787353832828,5.80337808575141,31.1390212213079,9.44131658726721,10.3941100043309,22.2174101342573,1.12602858380251,0
"6",6,6,"14",100,13185,100,0,1500,50,4940.42,4700,3100,1600,3702,33631.5294117647,45.2412787164215,54.6493253920019,30.8617965236417,29.8043029050687,17.8193752279081,16.0204205664276,13.0788865929257,6.44220250395041,14.7441351647016,16.6403306186945,11.3042421295734,22.2073659900328,63.1700498359062,0.607754953202869,6.17479032454114,0,0.619910052266926,6.91625136744864,92.2450467971314,7.64555731129209,23.3717164447643,76.5023389708528,43.1090320259086,22.8679381072328,8.79812882331774,4.13817920115149,1.7092479309104,81.4226925338036,18.4303350970018,19.6140839466879,16.5314401622718,1.3184584178499,39.7565922920893,10.0405679513185,12.0689655172414,15.1115618661258,5.17241379310345,0
"7",7,7,"15",NA,NA,NA,NA,NA,NA,300,0,0,NA,50,67077.56,48.0459770114943,51.8656056587091,39.1040377247274,34.8953728264073,12.5965222516947,19.7583259652225,17.1470674918951,4.91010904804008,19.2690834070144,17.6598880047156,7.60978485116416,69.5785440613027,19.2337164750958,0.0707338638373121,5.85912172119069,0,2.82935455349248,2.18685529030357,93.097553787209,6.83171234895373,5.45617842975825,94.4540079335379,80.8397575031809,69.2463138986603,31.8763565601377,11.8179776962802,4.98465683706309,95.5050143266476,4.38753581661891,36.2315996074583,28.9274106175515,2.41061755146262,42.4160346695558,4.90249187432286,17.7139761646804,1.89599133261105,1.73347778981582,0
"8",8,8,"16",0,20762,0,0,0,3120,26499.43,25710,22590,3120,NA,22694.5625,44.829002772928,55.0785662935196,23.6006983670535,41.1523056382869,11.0917120262915,10.6192872548013,18.8867207558796,4.62154667762144,12.8684399712437,22.1423436376707,6.34692410393345,3.30697340043134,94.1255006675567,0.708637157235288,0.359453630481668,0,0.267022696929239,1.02701037280477,98.4594844407928,1.48916504056691,23.3328002558772,76.5552534783304,26.4353110506957,5.29345913961299,2.31888693427155,1.0714856868703,0.495762034223573,77.4823196605375,22.2630834512023,12.4951443739479,14.5077720207254,4.76683937823834,26.1139896373057,20.8290155440415,11.1917098445596,21.9689119170984,0.621761658031088,0
"9",9,9,"17",0,19000,0,0,0,0,NA,NA,NA,NA,NA,29950.46875,44.4243545538643,55.4999579513918,30.0773694390716,32.9576991001598,14.1745858212093,13.0771171474224,14.4394920528131,5.50836767303002,16.9203599360861,18.4551341350601,8.60314523589269,9.80153056933815,85.7329072407703,0.0672777731057102,2.10663527037255,0.0252291649146413,0.588680514674964,1.53897905979312,96.7580523084686,3.18728450088302,19.2766829130466,80.610298792117,42.3253514162605,14.8830967012785,3.65190365190365,0.755809846718938,0.183654729109275,79.3676414736043,20.4899354348652,19.7519929140833,18.6616074508451,0.689893066574681,34.7016212487065,7.58882373232149,6.93342531907554,30.7692307692308,0.620903759917213,0.034494653328734
"10",10,10,"18",NA,NA,NA,NA,NA,NA,8300,10900,7900,3000,8100,44770.4814814815,52.3459962072551,47.5438918455986,38.594237474766,35.26640973879,9.1698782651251,22.4873065394262,17.440508961889,3.97014742766257,16.0212883097816,17.7402581513428,5.12020554230134,70.4288248608307,7.7200709610326,0.391509145408943,3.21771578882975,0.11622927754328,13.268489631125,4.6063497889521,74.2338043677739,25.6927876674619,16.4720812182741,83.4179357021997,55.8544839255499,39.492385786802,12.5042301184433,3.87478849407783,2.20812182741117,89.46474086661,10.3759558198811,25.8241758241758,17.6170212765957,3.74468085106383,58.7659574468085,7.19148936170213,9.91489361702128,1.48936170212766,1.27659574468085,0
