Election Year (2017 for all records on CD)                ,Election Type Code (P for all records on CD)              ,County Code (01 through 67 see attached sheet),Precinct Code                                             ,Party 1 rank                                              ,Party 1 abbreviation                                      ,Registered Voters for party 1                             ,Party 2 rank                                              ,Party 2 abbreviation                                      ,Registered Voters for party 2                             ,Party 3 rank                                              ,Party 3 abbreviation                                      ,Registered Voters for party 3                             ,Party 4 rank                                              ,Party 4 abbreviation                                      ,Registered Voters for party 4                             ,Party 5 rank                                              ,Party 5 abbreviation                                      ,Registered Voters for party 5                             ,Party 6 rank                                              ,Party 6 abbreviation                                      ,Registered Voters for party 6                             ,U.S. Congressional District                               ,Pennsylvania State Senatorial District                    ,Pennsylvania State House District                         ,Municipality Type Code                                    ,Municipality Name                                        ,Municipality Breakdown Code 1                             ,Municipality Breakdown Name 1                            ,Municipality Breakdown Code 2                             ,Municipality Breakdown Name 2                            ,Bi-County Code (if municipality crosses county lines)    ,MCD Code                                                  ,FIPS Code                                                 ,VTD code                                                  ,Previous Precinct Code                                    ,Previous U.S. Congressional District                      ,Previous PA State Senatorial District                     ,Previous PA State House District 
2017,P,1,10,1,DEM,195,2,REP,272,3,OTH,98,4,,0,5,,0,6,,0,4,33,193,6,ABBOTTSTOWN,,,,,0,5,1,10,0,19,33,193
2017,P,1,20,1,DEM,160,2,REP,271,3,OTH,71,4,,0,5,,0,6,,0,4,33,193,6,ARENDTSVILLE,,,,,0,10,1,20,0,19,33,91
2017,P,1,30,1,DEM,110,2,REP,187,3,OTH,46,4,,0,5,,0,6,,0,4,33,193,6,BENDERSVILLE,,,,,0,15,1,30,0,19,33,193
2017,P,1,40,1,DEM,393,2,REP,900,3,OTH,221,4,,0,5,,0,6,,0,4,33,193,4,BERWICK,,,,,0,20,1,40,0,19,33,193
2017,P,1,50,1,DEM,195,2,REP,345,3,OTH,117,4,,0,5,,0,6,,0,4,33,193,6,BIGLERVILLE,,,,,0,25,1,50,0,19,33,193
2017,P,1,60,1,DEM,326,2,REP,513,3,OTH,173,4,,0,5,,0,6,,0,4,33,91,6,BONNEAUVILLE,,,,,0,27,1,60,0,19,33,91
2017,P,1,70,1,DEM,396,2,REP,1032,3,OTH,225,4,,0,5,,0,6,,0,4,33,193,4,BUTLER,,,,,0,30,1,70,0,19,33,193
2017,P,1,80,1,DEM,429,2,REP,799,3,OTH,315,4,,0,5,,0,6,,0,4,33,91,6,CARROLL VALLEY,D,1,,,0,33,1,78,0,19,33,91
2017,P,1,85,1,DEM,329,2,REP,683,3,OTH,234,4,,0,5,,0,6,,0,4,33,91,6,CARROLL VALLEY,D,2,,,0,33,1,82,0,19,33,91
2017,P,1,90,1,DEM,679,2,REP,1147,3,OTH,311,4,,0,5,,0,6,,0,4,33,91,4,CONEWAGO,X,1,,,0,35,1,90,0,19,33,91
